지점,지점명,일시,평균기온(°C),일강수량(mm)
90,속초,2021-01-01,-2.9,
90,속초,2021-01-02,-2.5,
90,속초,2021-01-03,-2.5,
90,속초,2021-01-04,-.9,
90,속초,2021-01-05,-3.2,
90,속초,2021-01-06,-5.9,
90,속초,2021-01-07,-12.1,0
90,속초,2021-01-08,-13,
90,속초,2021-01-09,-10.2,
90,속초,2021-01-10,-5.9,
90,속초,2021-01-11,-4.4,
90,속초,2021-01-12,-.8,
90,속초,2021-01-13,5.7,
90,속초,2021-01-14,2.8,
90,속초,2021-01-15,3.2,0
90,속초,2021-01-16,-.2,
90,속초,2021-01-17,-3.9,
90,속초,2021-01-18,-2.6,0
90,속초,2021-01-19,-6.1,
90,속초,2021-01-20,1,
90,속초,2021-01-21,6.4,0
90,속초,2021-01-22,5,
90,속초,2021-01-23,1.8,
90,속초,2021-01-24,3.5,
90,속초,2021-01-25,4.1,
90,속초,2021-01-26,5.3,0
90,속초,2021-01-27,3.3,
90,속초,2021-01-28,-.5,0
90,속초,2021-01-29,-6.4,
90,속초,2021-01-30,1.3,
90,속초,2021-01-31,2.8,0
